Time,Bits_10
10,65
16,97
22,133
27,169
33,203
39,235
44,270
50,306
55,340
61,338
67,339
72,343
78,341
84,335
89,334
95,338
101,337
106,331
112,328
118,331
123,332
129,328
135,323
140,324
146,325
152,323
157,321
163,319
169,320
174,321
180,319
186,316
192,317
197,318
203,320
209,318
214,315
220,317
226,319
231,318
237,316
243,316
248,318
254,320
260,318
265,316
271,318
277,319
283,321
288,319
294,318
300,318
305,320
311,321
317,320
322,319
328,320
334,322
339,323
345,323
351,323
357,325
362,327
368,327
374,327
379,328
385,331
391,333
396,333
402,334
408,336
414,338
419,342
425,342
431,343
436,345
442,348
448,350
453,351
459,351
465,353
470,357
476,357
482,358
488,358
493,361
499,364
505,365
510,366
516,367
522,370
527,373
533,373
539,374
545,376
550,379
556,380
562,381
567,381
573,383
579,387
584,387
590,387
596,388
601,391
607,394
613,395
618,395
624,395
630,398
636,399
641,399
647,399
653,400
658,402
664,402
670,402
675,402
681,403
687,405
693,405
698,405
704,405
710,405
715,407
721,407
727,406
732,406
738,407
744,407
749,407
755,407
761,406
767,408
772,408
778,408
784,407
789,407
795,408
801,408
806,407
812,407
818,406
824,406
829,406
835,405
841,404
846,402
852,403
858,402
863,401
869,400
875,400
881,400
886,399
892,398
898,396
903,397
909,396
915,395
920,393
926,391
932,391
937,389
943,388
949,386
955,383
960,382
966,381
972,379
977,377
983,375
989,375
994,374
1000,372
1006,369
1012,368
1017,366
1023,365
1029,364
1035,363
1040,360
1046,356
1052,354
1058,354
1063,354
1069,353
1075,349
1081,345
1086,345
1092,345
1098,345
1104,342
1109,338
1115,336
1121,336
1127,337
1132,334
1138,330
1144,326
1149,326
1155,327
1161,326
1167,323
1172,319
1178,318
1184,319
1190,321
1195,318
1201,315
1207,311
1213,312
1218,314
1224,313
1230,311
1236,308
1241,308
1247,309
1253,311
1259,310
1264,308
1270,305
1276,307
1282,311
1287,310
1293,308
1299,306
1305,307
1310,310
1316,312
1322,311
1328,310
1333,308
1339,311
1345,316
1351,316
1356,315
1362,313
1368,315
1374,319
1379,322
1385,321
1391,320
1397,320
1402,323
1408,327
1414,329
1420,329
1425,328
1431,330
1437,334
1443,339
1448,339
1454,338
1460,338
1466,342
1471,346
1477,349
1483,348
1489,347
1494,350
1500,353
1506,359
1512,360
1517,359
1523,360
1529,362
1535,366
1540,369
1546,368
1552,367
1558,370
1563,372
1569,376
1575,377
1581,376
1586,378
1592,380
1598,383
1604,386
1609,385
1615,386
1621,388
1627,390
1632,393
1638,393
1644,392
1649,393
1655,395
1661,397
1667,399
1672,398
1678,399
1684,400
1690,402
1695,404
1701,404
1707,403
1713,404
1718,405
1724,407
1730,408
1736,406
1741,407
1747,407
1753,408
1759,409
1764,407
1770,407
1776,407
1782,408
1787,409
1793,409
1799,406
1805,407
1810,407
1816,408
1822,409
1828,406
1833,405
1839,405
1845,406
1851,406
1856,405
1862,402
1868,402
1874,403
1879,403
1885,403
1891,399
1897,397
1902,397
1908,397
1914,397
1920,395
1925,391
1931,390
1937,390
1943,390
1948,390
1954,386
1960,383
1966,383
1971,382
1977,382
1983,380
1989,375
1994,373
2000,373
2006,373
2012,373
2017,368
2023,364
2029,364
2035,364
2040,364
2046,361
2052,356
2058,354
2063,353
2069,353
2075,353
2081,349
2086,345
2092,344
2098,344
2104,345
2109,341
2115,337
2121,335
2127,335
2132,335
2138,333
2144,329
2150,325
2155,325
2161,325
2167,326
2172,323
2178,319
2184,317
2190,318
2195,319
2201,317
2207,314
2213,310
2218,311
2224,313
2230,312
2236,310
2241,307
2247,306
2253,308
2259,311
2264,309
2270,307
2276,304
2282,306
2287,310
2293,310
2299,308
2305,306
2310,306
2316,309
2322,312
2328,311
2333,309
2339,307
2345,310
2351,314
2356,315
2362,314
2368,313
2374,314
2379,317
2385,322
2391,321
2397,320
2402,319
2408,322
2414,326
2420,329
2425,329
2431,328
2437,330
2443,333
2448,339
2454,339
2460,338
2466,338
2471,341
2477,345
2483,348
2489,347
2494,346
2500,349
2506,352
2512,357
2517,359
2523,358
2529,359
2535,361
2540,365
2546,369
2552,368
2558,367
2563,369
2569,371
2575,375
2581,377
2586,376
2592,377
2598,379
2604,382
2609,386
2615,385
2621,385
2627,386
2632,388
2638,391
2644,392
2650,391
2655,392
2661,394
2667,396
2673,399
2678,397
2684,397
2690,399
2695,400
2701,402
2707,402
2713,401
2718,402
2724,403
2730,404
2736,406
2741,404
2747,405
2753,405
2759,406
2764,407
2770,406
2776,405
2782,405
2787,406
2793,407
2799,408
2805,404
2810,405
2816,405
2822,406
2828,407
2833,405
2839,403
2845,403
2851,403
2856,403
2862,404
2868,399
2874,399
2879,399
2885,399
2891,399
2897,397
2902,394
2908,394
2914,394
2920,394
2925,394
2931,389
2937,388
2943,388
2948,387
2954,387
2960,384
2966,380
2971,380
2977,379
2983,379
2989,378
2994,373
3000,370
3006,370
3012,370
3017,371
3023,366
3029,361
3035,361
3040,361
3046,361
3052,358
3058,354
3063,351
3069,351
3075,351
3081,351
3086,348
3092,343
3098,342
3104,342
3109,342
3115,339
3121,335
3127,331
3132,331
3138,331
3144,330
3150,327
3155,323
3161,322
3167,323
3173,324
3178,321
3184,318
3190,315
3196,316
3201,318
3207,316
3213,313
3218,310
3224,310
3230,311
3236,312
3241,310
3247,308
3253,305
3259,307
3264,310
3270,308
3276,306
3282,303
3287,304
3293,307
3299,309
3305,307
3310,305
3316,304
3322,306
3328,311
3333,310
3339,309
3345,307
3351,309
3356,313
3362,315
3368,314
3374,312
3379,312
3385,315
3391,320
3397,321
3402,320
3408,318
3414,321
3420,325
3425,329
3431,328
3437,327
3443,328
3448,331
3454,336
3460,338
3466,337
3471,336
3477,338
3483,342
3489,346
3494,346
3500,345
3506,346
3512,349
3517,353
3523,356
3529,354
3535,354
3540,356
3546,359
3552,363
3558,364
3563,363
3569,365
3575,367
3581,370
3586,373
3592,372
3598,373
3604,375
3609,377
3615,380
3621,380
3627,379
3632,381
3638,383
3644,385
3650,387
3655,386
3661,387
3667,389
3673,391
3678,394
3684,393
3690,393
3696,394
3701,395
3707,397
3713,398
3719,395
3724,396
3730,397
3736,398
3741,400
3747,398
3753,398
3759,399
3764,400
3770,401
3776,401
3782,399
3787,399
3793,400
3799,400
3805,402
3810,398
3816,398
3822,398
3828,399
3833,400
3839,399
3845,396
3851,396
3856,396
3862,397
3868,397
3874,394
3879,392
3885,392
3891,392
3897,392
3902,390
3908,386
3914,386
3920,386
3925,386
3931,386
3937,382
3943,379
3948,379
3954,379
3960,379
3966,377
3971,372
3977,371
3983,370
3989,370
3994,370
4000,366
4006,362
4012,362
4017,361
4023,362
4029,358
4035,353
4040,351
4046,351
4052,351
4058,350
4063,346
4069,342
4075,342
4081,341
4086,342
4092,338
4098,334
4104,332
4109,331
4115,332
4121,329
4127,326
4132,321
4138,322
4144,322
4150,322
4155,319
4161,315
4167,313
4173,313
4178,315
4184,312
4190,308
4196,304
4201,305
4207,306
4213,306
4219,303
4224,300
4230,299
4236,300
4242,303
4247,301
4253,299
4259,296
4265,298
4270,301
4276,301
4282,299
4288,296
4293,296
4299,299
4305,302
4311,301
4316,299
4322,296
4328,299
4334,303
4339,304
4345,303
4351,301
4357,302
4362,305
4368,309
4374,308
4380,307
4385,306
4391,309
4397,313
4403,315
4408,315
4414,314
4420,316
4426,319
4431,324
4437,324
4443,324
4449,323
4454,326
4460,331
4466,334
4472,333
4477,332
4483,335
4489,338
4495,344
4500,346
4506,345
4512,345
4518,348
4523,352
4529,356
4535,355
4541,354
4546,356
4552,359
4558,363
4564,365
4569,364
4575,365
4581,367
4586,370
4592,374
4598,374
4604,373
4609,375
4615,377
4621,380
4627,382
4632,380
4638,381
4644,383
4650,385
4655,388
4661,388
4667,387
4673,389
4678,390
4684,393
4690,394
4696,392
4701,393
4707,394
4713,395
4719,398
4724,396
4730,396
4736,397
4742,397
4747,399
4753,399
4759,397
4765,398
4770,398
4776,399
4782,401
4788,398
4793,398
4799,398
4805,399
4811,400
4816,400
4822,397
4828,397
4834,397
4839,398
4845,399
4851,396
4857,394
4862,394
4868,394
4874,394
4880,394
4885,390
4891,389
4897,389
4903,389
4908,389
4914,386
4920,383
4926,383
4931,383
4937,383
4943,382
4949,377
4954,375
4960,375
4966,375
4972,375
4977,371
4983,367
4989,367
4995,367
5000,367
5006,366
5012,361
5018,358
5023,358
5029,358
5035,359
5041,354
5046,348
5052,347
5058,347
5064,347
5069,345
5075,341
5081,337
5087,337
5092,337
5098,337
5104,333
5110,329
5115,327
5121,327
5127,328
5133,324
5138,320
5144,316
5150,317
5156,318
5161,317
5167,314
5173,310
5179,308
5184,309
5190,311
5196,309
5202,306
5207,302
5213,303
5219,305
5225,304
5230,301
5236,299
5242,298
5248,300
5253,301
5259,299
5265,297
5271,295
5276,297
5282,301
5288,300
5294,298
5299,295
5305,296
5311,299
5317,302
5322,300
5328,298
5334,297
5340,300
5345,304
5351,305
5357,303
5363,302
5368,303
5374,307
5380,310
5386,310
5391,309
5397,308
5403,312
5409,317
5414,318
5420,318
5426,317
5432,320
5437,324
5443,328
5449,327
5455,327
5460,327
5466,331
5472,335
5478,338
5483,337
5489,336
5495,339
5501,343
5506,348
5512,349
5518,348
5524,349
5529,352
5535,356
5541,359
5547,358
5552,357
5558,359
5564,362
5570,366
5575,367
5581,366
5587,369
5592,371
5598,374
5604,377
5610,376
5615,376
5621,378
5627,380
5633,383
5638,384
5644,382
5650,384
5656,386
5661,388
5667,390
5673,389
5679,389
5684,390
5690,392
5696,394
5702,394
5707,393
5713,394
5719,395
5725,397
5730,399
5736,396
5742,397
5748,398
5753,398
5759,400
5765,399
5771,398
5776,398
5782,399
5788,400
5794,401
5799,397
5805,398
5811,398
5817,399
5822,400
5828,398
5834,396
5840,396
5845,396
5851,396
5857,397
5863,393
5868,392
5874,392
5880,392
5886,393
5891,390
5897,387
5903,388
5909,387
5914,387
5920,387
5926,383
5932,381
5937,381
5943,381
5949,381
5955,377
5960,373
5966,374
5972,373
5978,373
5983,372
5989,368
5995,365
6001,364
6006,364
6012,365
6018,361
6024,355
6029,354
6035,354
6041,354
6047,352
6052,348
6058,344
6064,344
6070,344
6075,345
6081,341
6087,336
6093,334
6098,334
6104,335
6110,332
6116,328
6121,324
6127,325
6133,325
6139,325
6144,322
6150,318
6156,316
6162,317
6167,318
6173,315
6179,311
6185,307
6190,308
6196,309
6202,309
6208,306
6213,302
6219,301
6225,302
6231,305
6236,303
6242,300
6248,297
6254,299
6259,301
6265,301
6271,299
6277,296
6282,296
6288,298
6294,301
6300,299
6305,297
6311,295
6317,298
6323,302
6328,302
6334,301
6340,299
6346,300
6351,303
6357,307
6363,306
6369,305
6374,303
6380,306
6386,311
6392,313
6397,312
6403,311
6409,312
6415,316
6420,321
6426,322
6432,321
6438,320
6443,323
6449,327
6455,331
6461,330
6466,329
6472,332
6478,335
6484,340
6489,341
6495,340
6501,341
6507,343
6512,347
6518,351
6524,351
6530,349
6535,352
6541,355
6547,359
6553,362
6558,361
6564,362
6570,364
6575,367
6581,371
6587,370
6593,369
6598,371
6604,373
6610,376
6616,378
6621,376
6627,378
6633,380
6639,383
6644,386
6650,385
6656,385
6662,386
6667,388
6673,390
6679,391
6685,389
6690,390
6696,392
6702,393
6708,396
6713,394
6719,394
6725,395
6731,396
6736,398
6742,398
6748,396
6754,397
6759,397
6765,398
6771,400
6777,397
6782,397
6788,397
6794,398
6800,399
6805,399
6811,396
6817,397
6823,397
6828,398
6834,399
6840,395
6846,394
6851,394
6857,394
6863,395
6869,394
6874,390
6880,391
6886,391
6892,391
6897,391
6903,387
6909,385
6915,385
6920,384
6926,385
6932,382
6938,378
6943,378
6949,377
6955,377
6961,378
6966,373
6972,370
6978,370
6984,370
6989,370
6995,367
7001,362
7007,360
7012,360
7018,360
7024,360
7030,355
7035,351
7041,351
7047,351
7053,351
7058,347
7064,343
7070,341
7076,340
7081,340
7087,339
7093,335
7099,330
7104,330
7110,330
7116,331
7122,327
7127,323
7133,321
7139,321
7145,322
7150,320
7156,316
7162,312
7168,312
7173,313
7179,313
7185,310
7191,307
7196,305
7202,306
7208,308
7214,305
7219,302
7225,299
7231,300
7236,302
7242,302
7248,300
7254,297
7259,296
7265,298
7271,302
7277,300
7282,298
7288,295
7294,297
7300,301
7305,302
7311,300
7317,298
7323,297
7328,300
7334,305
7340,304
7346,302
7351,300
7357,303
7363,307
7369,309
7375,309
7380,307
7386,307
7392,311
7398,316
7403,317
7409,316
7415,315
7421,318
7426,322
7432,326
7438,325
7444,325
7449,326
7455,329
7461,334
7467,336
7472,335
7478,334
7484,337
7490,341
7495,346
7501,346
7507,345
7513,346
7518,349
7524,353
7530,357
7536,356
7541,355
7547,357
7553,360
7559,364
7564,365
7570,364
7576,366
7582,369
7587,372
7593,375
7599,374
7605,374
7610,376
7616,378
7622,381
7627,383
7633,381
7639,383
7645,384
7650,387
7656,390
7662,388
7668,388
7673,390
7679,392
7685,394
7691,395
7696,393
7702,394
7708,395
7714,397
7719,399
7725,397
7731,398
7737,399
7742,400
7748,401
7754,401
7760,399
7765,399
7771,400
7777,401
7783,403
7788,399
7794,399
7800,400
7806,400
7811,401
7817,400
7823,398
7829,398
7834,399
7840,399
7846,400
7852,396
7857,395
7863,395
7869,396
7875,396
7880,394
7886,391
7892,391
7898,391
7903,391
7909,392
7915,387
7921,385
7926,385
7932,385
7938,385
7944,383
7949,379
7955,378
7961,377
7967,377
7972,378
7978,373
7984,370
7990,370
7995,370
8001,370
8007,367
8013,362
8018,360
8024,360
8030,360
8036,360
8041,356
8047,351
8053,351
8059,351
8064,351
8070,347
8076,343
8082,341
8087,340
8093,340
8099,339
8105,335
8110,331
8116,330
8122,331
8128,332
8133,328
8139,324
8145,322
8151,322
8156,323
8162,321
8168,318
8174,313
8179,313
8185,314
8191,315
8197,312
8202,309
8208,307
8214,308
8220,310
8225,308
8231,305
8237,302
8243,303
8248,305
8254,306
8260,304
8266,301
8271,300
8277,303
8283,306
8289,304
8294,302
8300,299
8306,300
8312,304
8317,305
8323,304
8329,302
8335,301
8340,304
8346,309
8352,309
8358,308
8363,306
8369,308
8375,312
8381,316
8386,314
8392,313
8398,313
8404,317
8409,322
8415,323
8421,322
8427,321
8432,324
8438,328
8444,332
8450,331
8455,331
8461,331
8467,334
8473,339
8478,341
8484,341
8490,339
8496,342
8501,346
8507,351
8513,352
8519,351
8524,352
8530,355
8536,359
8542,362
8547,361
8553,360
8559,363
8565,365
8570,369
8576,371
8582,370
8588,371
8593,374
8599,376
8605,380
8611,379
8616,379
8622,380
8628,382
8634,385
8639,387
8645,385
8651,386
8657,388
8662,390
8668,393
8674,392
8680,392
8685,393
8691,395
8697,397
8703,398
8708,396
8714,397
8720,398
8726,399
8731,402
8737,400
8743,400
8749,400
8754,401
8760,403
8766,403
8772,401
8777,402
8783,402
8789,403
8795,404
8800,402
8806,401
8812,402
8818,402
8823,403
8829,403
8835,400
8841,400
8846,401
8852,401
8858,402
8864,399
8869,397
8875,397
8881,397
8887,398
8892,397
8898,393
8904,392
8910,392
8915,392
8921,392
8927,389
8933,386
8938,386
8944,386
8950,386
8956,385
8961,380
8967,379
8973,378
8979,378
8984,379
8990,375
8996,371
9002,370
9007,370
9013,370
9019,369
9025,364
9030,361
9036,361
9042,361
9048,361
9053,357
9059,352
9065,351
9071,351
9076,351
9082,349
9088,345
9094,341
9099,341
9105,341
9111,341
9117,338
9122,334
9128,333
9134,333
9140,334
9145,331
