Frequencies,Input,Output
100,3.27,2.44
100,3.27,3.31
100,2.89,2.63
100,2.11,1.66
100,1.79,1.70
100,2.67,3.19
100,1.80,1.37
100,2.95,3.57
100,2.02,1.69
100,2.49,2.67
100,2.37,2.39
100,2.17,2.04
100,2.64,2.96
100,1.93,1.55
100,2.87,3.40
100,1.75,1.19
100,2.67,3.04
100,2.20,2.07
100,2.32,2.33
100,2.52,2.70
100,2.04,1.78
100,2.76,3.19
100,1.84,1.36
100,2.96,3.57
100,2.03,1.69
100,2.50,2.68
100,2.38,2.41
100,2.17,2.04
100,2.65,2.96
100,1.93,1.56
100,2.86,3.39
100,1.75,1.19
100,2.68,3.05
100,2.20,2.07
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.04
100,2.64,2.96
100,1.94,1.56
100,2.87,3.39
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.32,2.34
100,2.52,2.70
100,2.05,1.79
100,2.76,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.51,2.67
100,2.38,2.41
100,2.17,2.05
100,2.64,2.96
100,1.94,1.57
100,2.86,3.39
100,1.75,1.18
100,2.68,3.05
100,2.20,2.08
100,2.32,2.34
100,2.51,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.69
100,2.50,2.67
100,2.37,2.40
100,2.17,2.04
100,2.64,2.96
100,1.94,1.57
100,2.87,3.39
100,1.75,1.19
100,2.68,3.05
100,2.20,2.08
100,2.32,2.35
100,2.52,2.70
100,2.04,1.79
100,2.76,3.19
100,1.84,1.38
100,2.96,3.56
100,2.03,1.70
100,2.50,2.67
100,2.37,2.41
100,2.17,2.05
100,2.65,2.96
100,1.94,1.57
100,2.87,3.39
100,1.75,1.19
100,2.68,3.05
100,2.20,2.08
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.18
100,1.84,1.38
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.38,2.41
100,2.17,2.04
100,2.65,2.96
100,1.94,1.57
100,2.87,3.38
100,1.75,1.19
100,2.68,3.05
100,2.21,2.07
100,2.33,2.35
100,2.52,2.71
100,2.05,1.79
100,2.76,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.66
100,2.37,2.40
100,2.17,2.05
100,2.65,2.96
100,1.94,1.57
100,2.87,3.39
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.32,2.34
100,2.52,2.70
100,2.05,1.79
100,2.76,3.18
100,1.83,1.38
100,2.96,3.57
100,2.03,1.69
100,2.50,2.67
100,2.37,2.40
100,2.17,2.05
100,2.65,2.96
100,1.94,1.57
100,2.86,3.38
100,1.75,1.20
100,2.68,3.04
100,2.20,2.07
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.38
100,2.96,3.57
100,2.03,1.69
100,2.50,2.67
100,2.37,2.40
100,2.18,2.04
100,2.65,2.96
100,1.94,1.57
100,2.87,3.40
100,1.76,1.19
100,2.68,3.05
100,2.20,2.08
100,2.33,2.34
100,2.51,2.70
100,2.05,1.79
100,2.77,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.51,2.68
100,2.38,2.41
100,2.17,2.05
100,2.65,2.96
100,1.94,1.56
100,2.87,3.39
100,1.76,1.20
100,2.68,3.06
100,2.21,2.07
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.36
100,2.96,3.56
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.04
100,2.65,2.97
100,1.94,1.57
100,2.87,3.39
100,1.76,1.19
100,2.69,3.06
100,2.21,2.08
100,2.33,2.34
100,2.52,2.70
100,2.04,1.79
100,2.76,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.68
100,2.38,2.41
100,2.18,2.05
100,2.65,2.96
100,1.94,1.56
100,2.87,3.39
100,1.76,1.19
100,2.67,3.05
100,2.20,2.07
100,2.32,2.35
100,2.52,2.69
100,2.05,1.79
100,2.77,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.69
100,2.50,2.67
100,2.38,2.41
100,2.17,2.05
100,2.65,2.96
100,1.94,1.56
100,2.87,3.38
100,1.75,1.19
100,2.69,3.06
100,2.21,2.08
100,2.33,2.33
100,2.52,2.70
100,2.05,1.79
100,2.76,3.18
100,1.84,1.37
100,2.96,3.56
100,2.03,1.70
100,2.50,2.67
100,2.38,2.41
100,2.18,2.04
100,2.65,2.96
100,1.94,1.56
100,2.87,3.39
100,1.75,1.19
100,2.68,3.06
100,2.20,2.07
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.69
100,2.50,2.66
100,2.38,2.41
100,2.18,2.04
100,2.65,2.96
100,1.94,1.56
100,2.87,3.38
100,1.75,1.19
100,2.69,3.06
100,2.20,2.08
100,2.33,2.35
100,2.52,2.70
100,2.04,1.79
100,2.76,3.19
100,1.84,1.37
100,2.96,3.56
100,2.03,1.70
100,2.50,2.67
100,2.38,2.40
100,2.18,2.05
100,2.65,2.96
100,1.94,1.57
100,2.87,3.39
100,1.75,1.19
100,2.68,3.05
100,2.20,2.08
100,2.32,2.34
100,2.52,2.69
100,2.05,1.79
100,2.76,3.18
100,1.84,1.37
100,2.97,3.58
100,2.03,1.70
100,2.50,2.68
100,2.38,2.41
100,2.17,2.05
100,2.64,2.96
100,1.94,1.57
100,2.86,3.38
100,1.75,1.19
100,2.68,3.05
100,2.20,2.08
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.76,3.19
100,1.83,1.36
100,2.96,3.57
100,2.03,1.69
100,2.50,2.67
100,2.37,2.41
100,2.18,2.05
100,2.65,2.95
100,1.94,1.56
100,2.87,3.39
100,1.75,1.19
100,2.68,3.06
100,2.20,2.07
100,2.33,2.34
100,2.52,2.69
100,2.04,1.79
100,2.76,3.19
100,1.84,1.37
100,2.96,3.57
100,2.04,1.69
100,2.51,2.67
100,2.38,2.40
100,2.18,2.04
100,2.65,2.96
100,1.94,1.57
100,2.87,3.39
100,1.75,1.20
100,2.68,3.05
100,2.20,2.08
100,2.33,2.35
100,2.52,2.69
100,2.05,1.79
100,2.76,3.18
100,1.83,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.04
100,2.64,2.96
100,1.94,1.57
100,2.87,3.39
100,1.76,1.19
100,2.68,3.05
100,2.20,2.08
100,2.32,2.34
100,2.51,2.70
100,2.05,1.79
100,2.76,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.51,2.68
100,2.38,2.41
100,2.18,2.05
100,2.65,2.96
100,1.94,1.57
100,2.86,3.38
100,1.75,1.20
100,2.68,3.05
100,2.20,2.08
100,2.32,2.34
100,2.52,2.69
100,2.05,1.79
100,2.77,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.69
100,2.50,2.67
100,2.37,2.41
100,2.17,2.04
100,2.65,2.96
100,1.94,1.56
100,2.87,3.40
100,1.75,1.19
100,2.69,3.06
100,2.20,2.08
100,2.33,2.34
100,2.51,2.70
100,2.04,1.78
100,2.76,3.18
100,1.84,1.37
100,2.96,3.56
100,2.03,1.69
100,2.51,2.67
100,2.38,2.41
100,2.18,2.05
100,2.65,2.96
100,1.94,1.56
100,2.87,3.39
100,1.76,1.20
100,2.68,3.05
100,2.20,2.07
100,2.33,2.34
100,2.51,2.70
100,2.04,1.80
100,2.76,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.66
100,2.38,2.40
100,2.18,2.05
100,2.64,2.95
100,1.94,1.56
100,2.87,3.38
100,1.75,1.18
100,2.68,3.05
100,2.20,2.07
100,2.32,2.34
100,2.52,2.69
100,2.05,1.79
100,2.76,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.18,2.05
100,2.65,2.96
100,1.94,1.57
100,2.87,3.39
100,1.75,1.19
100,2.68,3.05
100,2.20,2.07
100,2.32,2.34
100,2.51,2.70
100,2.04,1.80
100,2.77,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.38,2.41
100,2.17,2.04
100,2.64,2.96
100,1.94,1.57
100,2.86,3.39
100,1.75,1.19
100,2.68,3.05
100,2.20,2.07
100,2.32,2.35
100,2.52,2.69
100,2.05,1.79
100,2.76,3.19
100,1.84,1.36
100,2.96,3.56
100,2.03,1.70
100,2.50,2.67
100,2.38,2.41
100,2.18,2.04
100,2.65,2.96
100,1.94,1.57
100,2.87,3.38
100,1.75,1.19
100,2.68,3.05
100,2.20,2.08
100,2.33,2.34
100,2.52,2.70
100,2.04,1.80
100,2.76,3.18
100,1.84,1.37
100,2.97,3.57
100,2.03,1.69
100,2.50,2.66
100,2.38,2.40
100,2.18,2.04
100,2.64,2.96
100,1.94,1.56
100,2.86,3.38
100,1.75,1.18
100,2.67,3.04
100,2.20,2.08
100,2.33,2.34
100,2.52,2.71
100,2.05,1.79
100,2.76,3.18
100,1.84,1.38
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.38,2.41
100,2.18,2.05
100,2.65,2.96
100,1.94,1.57
100,2.87,3.40
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.32,2.34
100,2.51,2.69
100,2.04,1.79
100,2.77,3.18
100,1.84,1.36
100,2.96,3.57
100,2.04,1.69
100,2.51,2.68
100,2.38,2.41
100,2.18,2.05
100,2.65,2.95
100,1.94,1.57
100,2.86,3.39
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.32,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.37
100,2.96,3.56
100,2.03,1.70
100,2.50,2.67
100,2.37,2.41
100,2.18,2.05
100,2.65,2.95
100,1.94,1.57
100,2.87,3.39
100,1.75,1.19
100,2.68,3.05
100,2.20,2.07
100,2.32,2.34
100,2.51,2.70
100,2.05,1.79
100,2.76,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.69
100,2.50,2.67
100,2.38,2.41
100,2.17,2.04
100,2.65,2.96
100,1.93,1.57
100,2.86,3.39
100,1.75,1.19
100,2.67,3.05
100,2.19,2.08
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.36
100,2.96,3.56
100,2.03,1.69
100,2.50,2.67
100,2.38,2.40
100,2.18,2.04
100,2.65,2.96
100,1.94,1.57
100,2.87,3.40
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.32,2.34
100,2.52,2.69
100,2.04,1.79
100,2.76,3.19
100,1.84,1.37
100,2.96,3.57
100,2.04,1.69
100,2.51,2.67
100,2.38,2.40
100,2.18,2.05
100,2.65,2.96
100,1.93,1.56
100,2.86,3.39
100,1.75,1.20
100,2.68,3.06
100,2.20,2.07
100,2.32,2.34
100,2.51,2.69
100,2.05,1.79
100,2.77,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.69
100,2.50,2.68
100,2.38,2.40
100,2.17,2.04
100,2.65,2.95
100,1.94,1.56
100,2.86,3.39
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.32,2.34
100,2.52,2.70
100,2.05,1.78
100,2.76,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.51,2.67
100,2.37,2.41
100,2.18,2.05
100,2.65,2.96
100,1.93,1.56
100,2.87,3.39
100,1.75,1.18
100,2.67,3.04
100,2.20,2.08
100,2.32,2.34
100,2.51,2.70
100,2.05,1.80
100,2.77,3.18
100,1.84,1.38
100,2.97,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.05
100,2.64,2.95
100,1.93,1.57
100,2.86,3.38
100,1.75,1.19
100,2.68,3.06
100,2.20,2.07
100,2.33,2.34
100,2.52,2.70
100,2.05,1.78
100,2.76,3.18
100,1.84,1.36
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.05
100,2.65,2.96
100,1.94,1.57
100,2.86,3.39
100,1.75,1.19
100,2.67,3.06
100,2.20,2.08
100,2.32,2.34
100,2.52,2.69
100,2.05,1.79
100,2.76,3.19
100,1.84,1.38
100,2.96,3.57
100,2.03,1.69
100,2.50,2.67
100,2.38,2.40
100,2.17,2.04
100,2.64,2.96
100,1.94,1.56
100,2.86,3.38
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.37
100,2.96,3.57
100,2.04,1.69
100,2.50,2.67
100,2.38,2.40
100,2.17,2.05
100,2.64,2.95
100,1.94,1.57
100,2.87,3.39
100,1.75,1.19
100,2.67,3.04
100,2.20,2.07
100,2.32,2.34
100,2.51,2.70
100,2.04,1.78
100,2.76,3.19
100,1.84,1.38
100,2.96,3.57
100,2.03,1.70
100,2.51,2.67
100,2.37,2.41
100,2.17,2.04
100,2.65,2.95
100,1.94,1.57
100,2.86,3.38
100,1.75,1.19
100,2.68,3.05
100,2.20,2.08
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.36
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.04
100,2.65,2.96
100,1.93,1.56
100,2.87,3.39
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.32,2.34
100,2.51,2.70
100,2.05,1.79
100,2.76,3.18
100,1.84,1.38
100,2.96,3.57
100,2.04,1.69
100,2.51,2.68
100,2.38,2.40
100,2.18,2.05
100,2.65,2.96
100,1.94,1.56
100,2.86,3.39
100,1.75,1.19
100,2.67,3.06
100,2.20,2.07
100,2.33,2.33
100,2.52,2.70
100,2.05,1.80
100,2.77,3.19
100,1.84,1.36
100,2.97,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.05
100,2.65,2.95
100,1.94,1.57
100,2.86,3.38
100,1.75,1.19
100,2.67,3.05
100,2.20,2.07
100,2.32,2.34
100,2.52,2.70
100,2.05,1.79
100,2.76,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.38,2.40
100,2.18,2.05
100,2.65,2.96
100,1.94,1.56
100,2.87,3.38
100,1.75,1.18
100,2.68,3.05
100,2.20,2.07
100,2.32,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.38
100,2.96,3.57
100,2.03,1.70
100,2.50,2.68
100,2.37,2.41
100,2.17,2.04
100,2.64,2.95
100,1.93,1.56
100,2.86,3.39
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.32,2.34
100,2.52,2.70
100,2.05,1.79
100,2.76,3.18
100,1.84,1.37
100,2.96,3.56
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.18,2.05
100,2.65,2.96
100,1.93,1.57
100,2.87,3.39
100,1.75,1.18
100,2.68,3.05
100,2.20,2.08
100,2.32,2.33
100,2.52,2.70
100,2.05,1.79
100,2.76,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.68
100,2.37,2.41
100,2.17,2.05
100,2.65,2.96
100,1.94,1.56
100,2.86,3.39
100,1.75,1.19
100,2.67,3.04
100,2.20,2.07
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.18
100,1.84,1.37
100,2.96,3.56
100,2.03,1.70
100,2.50,2.67
100,2.37,2.41
100,2.18,2.05
100,2.64,2.96
100,1.93,1.57
100,2.86,3.40
100,1.75,1.18
100,2.68,3.05
100,2.20,2.08
100,2.32,2.33
100,2.52,2.70
100,2.05,1.79
100,2.76,3.18
100,1.84,1.38
100,2.97,3.57
100,2.03,1.70
100,2.50,2.68
100,2.37,2.40
100,2.17,2.04
100,2.65,2.95
100,1.94,1.57
100,2.86,3.38
100,1.75,1.19
100,2.68,3.05
100,2.20,2.08
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.04
100,2.64,2.96
100,1.94,1.57
100,2.87,3.39
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.32,2.34
100,2.52,2.70
100,2.04,1.80
100,2.76,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.69
100,2.51,2.67
100,2.38,2.41
100,2.17,2.04
100,2.64,2.96
100,1.93,1.57
100,2.86,3.38
100,1.75,1.19
100,2.68,3.04
100,2.20,2.07
100,2.33,2.34
100,2.52,2.70
100,2.04,1.79
100,2.77,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.04
100,2.64,2.96
100,1.93,1.57
100,2.87,3.40
100,1.75,1.19
100,2.68,3.05
100,2.20,2.08
100,2.32,2.33
100,2.52,2.70
100,2.05,1.78
100,2.76,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.69
100,2.51,2.68
100,2.38,2.41
100,2.17,2.05
100,2.64,2.96
100,1.93,1.57
100,2.87,3.39
100,1.75,1.19
100,2.68,3.05
100,2.20,2.08
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.05
100,2.64,2.96
100,1.93,1.56
100,2.86,3.39
100,1.75,1.19
100,2.69,3.06
100,2.20,2.08
100,2.33,2.33
100,2.52,2.69
100,2.04,1.79
100,2.76,3.18
100,1.84,1.37
100,2.96,3.56
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.05
100,2.65,2.96
100,1.94,1.57
100,2.86,3.38
100,1.75,1.19
100,2.67,3.05
100,2.20,2.08
100,2.33,2.34
100,2.52,2.70
100,2.05,1.79
100,2.77,3.19
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.04
100,2.64,2.96
100,1.94,1.57
100,2.87,3.38
100,1.76,1.19
100,2.69,3.05
100,2.20,2.08
100,2.33,2.35
100,2.52,2.70
100,2.05,1.79
100,2.76,3.19
100,1.84,1.38
100,2.96,3.57
100,2.03,1.69
100,2.50,2.68
100,2.37,2.40
100,2.18,2.05
100,2.65,2.96
100,1.93,1.57
100,2.86,3.39
100,1.75,1.19
100,2.68,3.05
100,2.20,2.08
100,2.33,2.34
100,2.52,2.69
100,2.05,1.80
100,2.77,3.18
100,1.84,1.37
100,2.97,3.57
100,2.03,1.70
100,2.50,2.67
100,2.37,2.40
100,2.17,2.04
100,2.64,2.96
100,1.94,1.56
100,2.86,3.39
100,1.75,1.19
100,2.68,3.06
100,2.20,2.08
100,2.33,2.35
100,2.52,2.71
100,2.04,1.79
100,2.76,3.18
100,1.84,1.38
100,2.96,3.56
100,2.03,1.69
100,2.50,2.67
100,2.37,2.40
100,2.18,2.04
100,2.65,2.96
100,1.94,1.56
100,2.87,3.39
100,1.75,1.19
100,2.67,3.04
100,2.20,2.08
100,2.32,2.33
100,2.51,2.70
100,2.05,1.80
100,2.76,3.18
100,1.84,1.37
100,2.96,3.57
100,2.03,1.70
100,2.50,2.68
100,2.38,2.40
100,2.18,2.05
100,2.65,2.96
100,1.94,1.57
100,2.86,3.38
100,1.76,1.20
100,2.68,3.06
100,2.20,2.08
100,2.33,2.35
100,2.52,2.70
100,2.05,1.79
100,2.76,3.19
100,1.83,1.37
100,2.96,3.57
200,2.64,2.82
200,2.26,2.05
200,2.38,2.51
200,2.41,2.38
200,2.19,2.17
200,2.25,2.23
200,2.07,1.94
200,1.85,1.70
200,2.00,2.16
200,2.27,2.50
200,2.55,2.79
200,2.81,3.04
200,2.67,2.57
200,2.41,2.23
200,2.13,1.95
200,1.87,1.70
200,2.00,2.16
200,2.27,2.50
200,2.55,2.78
200,2.82,3.04
200,2.68,2.58
200,2.41,2.23
200,2.13,1.95
200,1.87,1.69
200,2.00,2.16
200,2.27,2.50
200,2.55,2.78
200,2.81,3.04
200,2.67,2.57
200,2.41,2.23
200,2.13,1.95
200,1.88,1.70
200,2.01,2.17
200,2.27,2.50
200,2.55,2.79
200,2.81,3.04
200,2.67,2.57
200,2.41,2.23
200,2.13,1.95
200,1.87,1.69
200,2.01,2.17
200,2.27,2.50
200,2.55,2.78
200,2.81,3.04
200,2.67,2.57
200,2.40,2.23
200,2.13,1.95
200,1.87,1.69
200,2.00,2.16
200,2.27,2.49
200,2.55,2.79
200,2.81,3.04
200,2.67,2.56
200,2.41,2.24
200,2.14,1.95
200,1.87,1.70
200,2.01,2.16
200,2.27,2.50
200,2.55,2.77
200,2.81,3.04
200,2.67,2.57
200,2.41,2.23
200,2.13,1.95
200,1.88,1.70
200,2.01,2.16
200,2.27,2.50
200,2.55,2.78
200,2.81,3.04
200,2.67,2.57
200,2.41,2.23
200,2.13,1.95
200,1.87,1.70
200,2.01,2.16
200,2.27,2.50
200,2.55,2.79
200,2.81,3.04
200,2.67,2.57
